Pulse Number,Pulse Width ,Pulse Amplitude (dBm),Range (km),Azimuth Angle (degrees),Elevation Angle (degrees),Doppler Shift (Hz),Signal-to-Noise Ratio (dB),Lower Frequency (GHz),Upper Frequency (GHz),Lower PRI ,Upper PRI 
3.8472147,4.983928,-10.934839,67.31054,-11.186343,23.200146,676.80426,18.624697,10.855497,9.787363,16.236155,21.964058
1.5044019,5.3700075,-13.011096,61.074554,-12.17636,10.458101,790.10266,20.631243,10.249069,10.228884,14.110078,21.447588
5.212486,5.305376,-12.87808,64.728226,22.058067,15.077146,637.58484,20.301071,10.617309,10.726089,19.62524,23.310307
3.2412918,5.5022645,-13.233593,72.74497,3.0482433,15.948412,564.3875,19.958464,10.531868,10.032017,14.868158,24.148527
1.2342162,5.7007093,-14.367817,74.71834,-7.9149694,14.31016,570.41895,18.826382,10.864922,9.935304,14.906365,26.904602
4.2850986,5.079314,-11.889151,64.344505,5.7034826,18.99433,675.6164,21.505613,10.0534525,9.9905615,16.225939,19.872328
1.2123299,5.391241,-14.414029,77.55838,-5.021247,17.652061,614.0049,18.92128,10.364304,9.501571,15.035505,24.976124
4.4205875,5.1719394,-12.661535,68.597885,15.0620775,17.902916,650.6912,19.619251,10.622691,10.50392,19.47468,24.440039
3.1053023,5.5811086,-13.069138,58.082855,17.687263,12.442616,616.13214,20.090132,10.668925,10.5673065,17.79634,24.07603
3.3468456,5.3749413,-12.603058,57.919254,16.119236,11.596565,693.4997,20.952383,10.352226,10.685255,17.0988,22.287958
2.7060382,5.3301954,-12.700498,74.613396,-0.31306762,20.119904,613.1466,20.46868,10.461281,9.7208605,16.858551,23.261108
2.3121498,5.3894296,-11.526348,57.165997,-4.500781,19.146152,723.1879,19.68834,11.066803,10.171575,17.121668,22.346434
4.3801208,4.8703074,-12.424186,76.73386,13.98878,21.240866,572.7779,20.026073,10.346206,9.65527,19.071943,22.906698
3.6570797,5.235919,-11.856449,63.69722,15.742419,19.971632,610.76715,18.881184,10.941329,10.318111,18.612066,23.912157
1.5201917,5.5421095,-14.082872,70.6781,1.9226062,15.021665,625.9315,20.308891,10.50705,9.8456,13.410151,24.967812
4.7335,4.9791155,-12.16361,72.57344,11.110242,18.90388,580.1471,19.044853,10.488559,10.289855,18.732544,23.507174
2.3783092,5.5729275,-11.954083,58.41482,10.904679,14.145681,627.7491,19.821768,10.778065,10.592748,17.69373,23.865103
3.4417772,5.2354174,-11.877674,69.31724,10.172544,20.288563,612.2648,19.518496,10.848873,10.226357,19.542492,23.92199
3.3360927,5.324786,-12.814655,70.56728,-2.0015442,19.704317,671.7002,20.323019,10.611433,9.642055,17.511902,23.836779
5.207338,5.1929326,-12.436967,62.904255,17.794813,15.926059,658.9235,20.588905,10.474254,10.591439,18.861876,22.366728
3.7149627,5.1758876,-11.501544,65.414345,-2.7187302,20.778154,649.08746,18.032595,11.167078,9.898417,16.404955,22.930971
2.5705345,5.232829,-12.209035,67.2117,-15.376346,18.292124,690.34576,21.175686,10.157789,10.185057,13.465307,19.702349
4.5589848,4.8731656,-11.538931,77.05684,10.926024,20.660822,576.30334,19.853868,10.33769,10.126656,17.510984,22.50231
3.1122782,4.8006296,-11.7639885,79.84807,-1.9822991,21.345955,610.5181,19.27101,10.295915,9.544077,16.316805,23.75175
3.0121644,5.0176687,-11.07809,69.82853,9.998967,22.600307,579.0134,18.405834,10.907643,9.999823,17.995733,23.703201
0.7668333,6.234405,-12.276552,60.47677,-1.7857163,12.078525,655.4954,21.041918,10.836612,10.423199,15.121837,25.206343
4.2567124,4.860114,-12.827079,76.38038,4.896842,21.182375,551.7726,19.697618,9.950024,9.674655,16.155735,22.50184
4.800261,5.0451407,-12.473157,66.59372,23.4457,17.624834,618.13367,18.956186,10.680266,10.640155,20.093948,23.959532
3.1533537,5.549002,-12.630307,58.606937,18.345104,13.101166,627.6922,20.129208,10.688595,10.7250395,18.419878,24.479755
3.9674077,5.2900186,-12.150988,67.187515,-6.244025,21.14221,639.32166,19.064548,10.728478,9.873881,15.809272,22.689999
3.183206,5.1341267,-12.383077,62.641617,-1.0719407,19.945929,719.00714,18.488182,11.39881,9.953176,15.794702,23.987
3.8262887,5.2573795,-12.889112,64.36477,6.563529,16.006113,702.89154,20.12884,10.734628,10.184005,17.70003,22.510475
1.291656,5.534299,-14.480635,67.32167,5.339547,17.931103,648.91754,20.36926,10.868764,9.811391,13.576517,25.078564
2.9373696,5.350718,-13.447756,63.12574,13.269046,12.257042,693.62646,20.567875,10.42449,10.594134,17.702091,23.139675
5.4101624,5.2343516,-12.809835,66.96871,20.044207,16.920063,636.8657,20.24041,10.629843,10.554702,19.864992,22.974115
4.675084,4.899363,-12.564551,69.97322,26.770447,18.640102,595.08844,20.183794,10.340982,10.45718,19.884634,23.395262
4.155363,5.437937,-12.679489,60.889347,16.949453,12.089709,663.3906,20.413506,10.555725,10.724362,17.528513,23.055706
0.42189455,5.906354,-13.124712,66.32995,-8.815291,12.217835,606.21674,18.466759,11.227246,9.929891,12.834091,25.32746
1.9970171,5.433976,-11.794341,64.3184,1.4684188,20.5078,623.2971,18.125034,11.292116,9.930687,16.692905,24.183037
3.9984922,5.2902975,-12.582401,71.370834,5.6847105,18.116762,641.54767,19.922016,10.465237,10.145434,17.209335,24.045578
4.30488,5.4004064,-12.7217655,63.3898,15.091981,14.393595,642.6796,20.644201,10.542856,10.489313,17.538048,22.89254
3.8386369,4.9507627,-10.125181,90.10954,-16.59555,25.356096,531.7918,19.651283,10.318336,9.386944,12.777235,20.402596
3.1695,5.5203543,-13.266588,70.03474,-8.767524,19.46177,696.1851,20.965866,10.650427,9.597238,16.73515,22.847645
2.3988094,5.4829698,-11.878631,67.956604,-7.94781,16.796276,615.79443,16.660196,10.933713,10.032938,14.157959,23.202684
2.8026185,5.576951,-12.789229,57.156807,17.370922,12.493083,637.02106,20.221956,10.6851,10.609896,18.00939,24.03884
4.7791653,5.3488007,-12.762289,64.87696,19.645433,14.936727,631.0914,20.572762,10.545767,10.647038,18.658049,23.164198
2.7375162,5.5708222,-12.442694,58.689426,7.373824,12.528911,677.93176,20.544039,10.478131,10.687485,16.761635,22.568531
3.5911243,5.273049,-12.349511,64.83124,8.822066,18.629923,642.4485,18.83124,11.087295,10.1600065,17.717117,23.77474
5.0103292,5.0311885,-13.010738,65.699554,27.92912,16.820444,627.5734,19.826757,10.530849,10.660344,20.77853,24.14811
1.5973711,5.5958934,-11.958544,63.301426,4.7784586,12.227299,640.7179,18.726133,11.013806,10.578534,15.525049,24.78877
3.6579962,4.57802,-10.994224,78.40741,2.487666,22.427216,560.92206,19.07114,10.431305,10.237691,17.719109,22.591284
-0.8688593,6.586768,-13.437415,59.742424,-32.475315,11.801128,650.0045,20.185919,11.15901,9.542025,11.272733,25.007797
3.204433,5.735532,-13.420841,68.02663,0.6606453,13.6805,592.78076,20.428196,10.334247,10.09333,15.091765,23.910236
3.7787359,5.428482,-12.219414,64.133255,16.392994,13.519011,641.6702,20.210766,10.554285,10.569257,17.335482,23.157778
0.6357107,5.9819956,-13.739214,75.13705,-17.903156,13.92616,597.4765,19.265383,10.795379,9.818038,13.863652,26.839804
3.4470463,5.0392084,-12.330335,63.09051,9.464768,16.693026,688.28595,21.759418,9.978252,10.48836,16.726137,20.643198
4.0159874,5.594837,-12.950382,63.854935,6.0641336,10.4079685,658.88196,20.53876,10.555476,10.52738,15.174379,22.156694
1.002295,5.2848115,-11.546057,77.473,-14.563788,20.9157,546.6074,14.7126,11.587985,9.959087,14.026181,25.816366
2.3980548,5.197357,-13.428105,68.63687,-0.5379059,18.32885,651.0709,20.935867,9.943604,9.913145,14.951401,21.862556
3.7177486,5.3134055,-12.944364,64.37089,15.086112,17.667524,661.53235,19.804512,10.971899,10.34523,17.52051,24.367052
2.3268573,5.5422363,-13.640683,68.74473,-6.835143,18.366714,632.0587,19.063944,11.072109,9.5638895,13.860037,23.436295
2.933992,5.5315294,-12.565118,64.777336,-0.11838837,14.96267,590.1655,17.580996,11.01749,10.264492,15.651003,24.248001
2.0002813,6.062625,-12.623574,67.959114,-10.126746,11.192369,614.0699,20.547314,10.472293,10.020469,11.677309,23.618952
3.755695,5.385392,-11.765028,65.211845,7.1761007,15.621148,644.18854,20.084482,10.588352,10.502609,16.72476,22.016933
2.6620884,5.381966,-13.404676,66.27489,9.459012,16.403254,679.78156,19.632917,10.940332,10.4670105,20.079731,24.875532
1.1128654,4.9853363,-14.015067,81.371445,-10.556472,21.098434,536.0711,16.474155,10.930153,9.45008,15.66085,27.023397
3.334906,5.3854566,-12.559282,58.843506,17.691122,11.25265,686.7254,20.900644,10.362334,10.767299,17.453304,22.476254
2.4516597,5.391288,-13.622971,75.78496,-0.25542754,16.838966,606.6576,20.31715,10.555625,10.236674,15.983637,24.690079
4.103522,4.6622047,-11.637268,79.351524,-3.3533661,23.89301,612.4544,20.16182,10.00095,9.670767,15.11607,21.41987
4.178221,5.4462404,-12.8800535,67.09462,-4.5280066,17.496712,646.9425,19.21485,10.767874,10.00079,16.040552,22.79035
4.223713,4.801496,-11.6141615,75.61854,14.373496,20.337418,565.0564,18.71707,10.622671,10.2899475,18.662207,23.561872
1.1546779,5.5789857,-12.359746,55.049488,-3.0897858,15.713107,739.7242,19.793434,11.250115,10.217354,17.277498,23.930706
6.963155,4.7949867,-11.386761,67.31031,32.285885,22.211672,655.2484,21.61697,11.215951,11.544432,18.434404,23.152142
3.4038224,4.1140323,-14.124423,69.348595,40.3994,31.63263,675.65656,23.723589,11.332158,12.944058,16.044287,19.683516
7.283077,4.8196425,-12.727717,62.95119,35.824913,17.03434,634.043,22.783262,10.891327,11.676511,21.451973,22.56944
8.838475,3.8705742,-11.1914,65.3524,35.617863,29.134815,578.5508,24.946661,12.109487,12.696062,17.70026,21.60594
5.6788387,4.7694345,-13.405461,63.02839,35.6316,19.720007,645.1918,22.469244,10.815484,11.740777,20.894512,22.279064
